Stanje,Pregledi,Cijena,Proizvodjac,Model,Gorivo,Godiste,Transmisija,Kilometraza,Kubikaza,Snaga motora (KW),Broj vrata
Koristeno,5255.0,29000.0,Skoda,Octavia,Dizel,2017.0,Automatik,257000,2.0,136.0,4/5
Koristeno,2260.0,14999.0,Audi,A4,Dizel,2010.0,Manuelni,225000,2.0,105.0,4/5
Koristeno,36193.0,,Skoda,Superb,Dizel,2020.0,Automatik,162270,2.0,140.0,4/5
Koristeno,395.0,17900.0,Volkswagen,Golf,Dizel,2015.0,Manuelni,246200,1.6,66.0,4/5
Koristeno,597.0,66900.0,Audi,Q7,Dizel,2016.0,Automatik,289000,3.0,200.0,4/5
Koristeno,1368.0,43600.0,Volkswagen,Passat,Dizel,2020.0,Automatik,129670,2.0,110.0,4/5
Koristeno,5191.0,30500.0,BMW,520,Dizel,2012.0,Automatik,226000,2.0,135.0,4/5
Koristeno,697.0,45000.0,Porsche,Cayenne,Dizel,2013.0,Automatik,257422,3.0,180.0,4/5
Koristeno,1562.0,34900.0,Volkswagen,Passat,Dizel,2020.0,Manuelni,196000,2.0,110.0,4/5
Koristeno,6718.0,21999.0,Skoda,Octavia,Dizel,2016.0,Manuelni,270000,2.0,110.0,4/5
Koristeno,1449.0,14499.0,Audi,A4,Dizel,2011.0,Manuelni,276600,2.0,105.0,4/5
Koristeno,124.0,,Hyundai,Tucson,Dizel,2017.0,Automatik,112923,2.0,136.0,4/5
Koristeno,1455.0,7999.0,Citroen,C1,Benzin,2012.0,Manuelni,197000,1.0,50.0,4/5
Koristeno,8796.0,,Volkswagen,Passat,Dizel,2012.0,Manuelni,249000,1.6,77.0,4/5
Koristeno,5089.0,53000.0,Skoda,Kodiaq,Dizel,2017.0,Automatik,160000,2.0,140.0,4/5
Koristeno,478.0,19999.0,Volkswagen,Golf,Dizel,2013.0,Manuelni,250000,1.6,77.0,4/5
Koristeno,9518.0,24700.0,Volkswagen,Golf,Dizel,2013.0,Manuelni,181683,2.0,110.0,4/5
Novo,1921.0,,Mercedes-Benz,CLE 300,Benzin,2024.0,Automatik,3,2.0,190.0,2/3
Koristeno,248.0,28000.0,Volkswagen,Passat,Dizel,2016.0,Manuelni,228000,1.6,88.0,4/5
Koristeno,2616.0,31500.0,Mercedes-Benz,CLS 350,Dizel,2012.0,Automatik,220000,3.0,195.0,4/5
